*header,File_name,Main_Refrigerator,Secondary_Refrigerator,Stove,Dishwasher,Main_Freezer,Secondary_Freezer,Clothes_Washer,Clothes_Dryer,Microwave,Color_TV,BW_TV,Furnace_Fan,Boiler_Pump,Supplementary_Heat,VCR,CD_Player,Stereo,Computer,Electric_Blanket,Water_Bed,Humidifier,Dehumidifier,Car_Block,Car_Warmer,Water_Cooler,Fish_Tank,Bath_Exhaust_Fan,Kitchen_Exhaust_Fan,Central_Air_Filter,Central_Humidifier,Central_Dehumidifier,Central_Air_Exchanger,HRV,Central_Vacuum,Sump_Pump,Water_Softener,Jacuzzi,Sauna,Ceiling_Fan,Portable_Fan,Central_Air_Conditioner,Window_Air_Conditioner,Halogen,Fluorescent,Incandescent,HDD,CDD,Area,Income,Dwelling_Type,Ownership,Rural_Suburb_Urban,Num_of_Children,Num_of_Adults,Employment_Ratio
*data,base_Dishwasher_6,500,0,1,6,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Dishwasher_8,500,0,1,8,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Dishwasher_10,500,0,1,10,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Dishwasher_12,500,0,1,12,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Dishwasher_14,500,0,1,14,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Dishwasher_15,500,0,1,15,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_100,500,0,1,4,100,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_200,500,0,1,4,200,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_300,500,0,1,4,300,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_400,500,0,1,4,400,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_500,500,0,1,4,500,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_600,500,0,1,4,600,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_700,500,0,1,4,700,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Main_Freezer_710,500,0,1,4,710,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_100,500,0,1,4,0,100,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_200,500,0,1,4,0,200,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_300,500,0,1,4,0,300,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_400,500,0,1,4,0,400,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_500,500,0,1,4,0,500,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_600,500,0,1,4,0,600,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_700,500,0,1,4,0,700,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Secondary_Freezer_710,500,0,1,4,0,710,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_0,500,0,1,4,0,0,0,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_2,500,0,1,4,0,0,2,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_4,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_6,500,0,1,4,0,0,6,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_8,500,0,1,4,0,0,8,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_10,500,0,1,4,0,0,10,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_12,500,0,1,4,0,0,12,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_14,500,0,1,4,0,0,14,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Washer_15,500,0,1,4,0,0,15,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_0,500,0,1,4,0,0,4,0,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_2,500,0,1,4,0,0,4,2,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_4,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_6,500,0,1,4,0,0,4,6,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_8,500,0,1,4,0,0,4,8,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_10,500,0,1,4,0,0,4,10,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_12,500,0,1,4,0,0,4,12,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_14,500,0,1,4,0,0,4,14,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Clothes_Dryer_15,500,0,1,4,0,0,4,15,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Microwave_0,500,0,1,4,0,0,4,4,0,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Microwave_1,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_0,500,0,1,4,0,0,4,4,1,0,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_1,500,0,1,4,0,0,4,4,1,1,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_2,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_3,500,0,1,4,0,0,4,4,1,3,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_4,500,0,1,4,0,0,4,4,1,4,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_5,500,0,1,4,0,0,4,4,1,5,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_6,500,0,1,4,0,0,4,4,1,6,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Color_TV_7,500,0,1,4,0,0,4,4,1,7,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_BW_TV_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_BW_TV_1,500,0,1,4,0,0,4,4,1,2,1,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_BW_TV_2,500,0,1,4,0,0,4,4,1,2,2,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_BW_TV_3,500,0,1,4,0,0,4,4,1,2,3,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Furnace_Fan_0,500,0,1,4,0,0,4,4,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Furnace_Fan_1,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Boiler_Pump_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Boiler_Pump_1,500,0,1,4,0,0,4,4,1,2,0,1,1,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Supplementary_Heat_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Supplementary_Heat_1,500,0,1,4,0,0,4,4,1,2,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Supplementary_Heat_2,500,0,1,4,0,0,4,4,1,2,0,1,0,2,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Supplementary_Heat_3,500,0,1,4,0,0,4,4,1,2,0,1,0,3,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_VCR_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_VCR_1,500,0,1,4,0,0,4,4,1,2,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_VCR_2,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_VCR_3,500,0,1,4,0,0,4,4,1,2,0,1,0,0,3,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_VCR_4,500,0,1,4,0,0,4,4,1,2,0,1,0,0,4,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_CD_Player_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_CD_Player_1,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_CD_Player_2,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_CD_Player_3,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,3,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Stereo_0,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
*data,base_Stereo_1,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
