"City","Province","Latitude","Longitude Difference","CWEC"
"SUMMERLAND","BRITISH COLUMBIA",49,0.61,"CAN_BC_Vancouver_CWEC"
"SUMMERSIDE","PRINCE EDWARD ISLAND",46.43,-3.83,"CAN_NS_Shearwater_CWEC"
"SWIFT CURRENT","SASKATCHEWAN",50.28,-2.68,"CAN_SK_Saskatoon_CWEC"
"SYDNEY","NOVA SCOTIA",46.17,-0.05,"CAN_NS_Shearwater_CWEC"
"TERRACE","BRITISH COLUMBIA",54.47,-8.58,"CAN_BC_Vancouver_CWEC"
"THE PAS/LE PAS","MANITOBA",53.97,-11.1,"CAN_MB_Winnipeg_CWEC"
"THOMPSON","MANITOBA",55.8,-7.87,"CAN_MB_Winnipeg_CWEC"
"THUNDER BAY","ONTARIO",48.37,-14.32,"CAN_ON_Toronto_CWEC"
"TIMMINS","ONTARIO",48.57,-6.37,"CAN_ON_Toronto_CWEC"
"TOFINO","BRITISH COLUMBIA",49.08,-5.77,"CAN_BC_Vancouver_CWEC"
"TORONTO","ONTARIO",43.67,-4.63,"CAN_ON_Toronto_CWEC"
"TRENTON","ONTARIO",44.12,-2.53,"CAN_ON_Toronto_CWEC"
"TRURO","NOVA SCOTIA",45.37,-3.27,"CAN_NS_Shearwater_CWEC"
"URANIUM CITY","SASKATCHEWAN",59.57,-3.48,"CAN_SK_Saskatoon_CWEC"
"VAL D'OR","QUEBEC",48.07,-17.78,"CAN_PQ_Quebec_CWEC"
"VANCOUVER","BRITISH COLUMBIA",49.18,-3.17,"CAN_BC_Vancouver_CWEC"
"VERMILION","ALBERTA",53.35,-5.83,"CAN_AB_Calgary_CWEC"
"VICTORIA","BRITISH COLUMBIA",48.65,-3.43,"CAN_BC_Vancouver_CWEC"
"WABUSH","NEWFOUNDLAND",52.93,-6.87,"CAN_NF_St.Johns_CWEC"
"WHITECOURT","ALBERTA",54.13,-10.67,"CAN_AB_Calgary_CWEC"
"WHITEHORSE","YUKON TERRITORY",60.72,-0.07,"CAN_YT_Whitehorse_CWEC"
"WILLIAMS LAKE","BRITISH COLUMBIA",52.18,-2.05,"CAN_BC_Vancouver_CWEC"
"WINDSOR","ONTARIO",42.27,-7.97,"CAN_ON_Toronto_CWEC"
"WINNIPEG","MANITOBA",49.9,-7.23,"CAN_MB_Winnipeg_CWEC"
"YARMOUTH","NOVA SCOTIA",43.83,-6.08,"CAN_NS_Shearwater_CWEC"
"YELLOWKNIFE","NORTHWEST TERRITORY",62.47,5.55,"CAN_YT_Whitehorse_CWEC"
